1.772562623900861354e+02,1.397142017926693143e+02,2.220830408191489482e+02,1.666295542384225143e+02,2.170213928523529034e+02,2.476655093755162511e+02,1.615142354059379386e+02,1.581492800153411338e+02,2.330038520899876460e+02,1.953301433265410481e+02,1.361621732817556563e+02,1.824779608990982638e+02,7.254522437794865652e+01,1.506546682680263416e+02
1.983298268571869585e+02,2.377685096301601106e+02,1.745615597526909539e+02,3.566643606540075098e+02,1.291412005528713962e+02,1.456690932934643570e+02,2.259339998502949243e+02,1.845991424997578463e+02,2.134013594179018298e+02,1.700397119378183390e+02,1.535350648837473670e+02,1.911890686655056300e+02,2.040847361007170093e+02,1.933366546424916805e+02
1.653665709362332166e+02,1.099247687521635299e+02,2.441820944289423210e+02,2.024143925446074093e+02,1.072697703490170937e+02,9.320773949463395525e+01,1.758466674815925899e+02,1.372668609568347620e+02,1.843524917482671697e+02,1.055191431308255545e+02,1.930936151164837895e+02,1.204837688617530773e+02,2.475545328649028534e+02,2.044154064601803782e+02
1.016845291429331724e+02,2.242780287204599290e+02,1.337257436760471876e+02,1.257618291909693653e+02,1.522434766637632606e+02,8.477881981948056023e+01,1.426775692877524193e+02,1.322631520918997410e+02,2.487175744894027503e+02,1.707442520595391784e+02,1.582256416912167651e+02,1.989808972822448254e+02,1.363814599894841990e+02,1.126810499828528549e+02
2.559793595520133636e+02,1.553829515297662738e+02,1.558755264289023330e+02,1.575030575022761923e+02,2.119119286673880538e+02,1.612328205577782114e+02,1.630338548571310184e+02,2.577429975919615117e+02,1.777829940696272217e+02,1.588754536161431474e+02,1.087839751482768946e+02,1.418203901016176758e+02,2.201342506565387680e+02,2.161516565377428378e+02
2.500773475245911470e+02,2.193681500476267843e+02,1.639676977724530786e+02,2.174194922759259327e+02,1.937386518730490081e+02,1.855874669087023392e+02,1.699375141692933937e+02,2.524128067150201105e+02,1.553589184168864676e+02,1.788422579782438788e+02,2.169682493714477971e+02,9.730770851985732861e+01,1.193664070694309487e+02,2.385670452853169081e+02
9.284450929156662369e+01,2.033159088050915670e+02,1.936245621559534129e+02,2.839055403367221402e+02,1.039631520425155315e+02,1.811872123308322102e+02,3.023950111784885735e+02,1.590156106302385410e+02,2.362549844227673645e+02,1.121789050071559330e+02,1.691066684621590923e+02,1.676413345917790423e+02,2.119785025231070961e+02,2.418610079868416847e+02
1.964584316487065507e+02,1.758192278152697270e+02,1.704565316027749589e+02,1.667897332174883900e+02,2.208191204979059705e+02,1.825794814550105514e+02,1.420521962660574218e+02,1.472144685677776579e+02,1.587001883786151950e+02,2.676206358563867980e+02,1.133229570865655234e+02,1.954905341320677792e+02,1.860358125614736764e+02,1.332538177585751953e+02
1.266884881629799509e+02,1.743988337913912119e+02,2.121223721061499532e+02,1.793031779379246586e+02,1.904170443198726446e+02,2.150452390259872004e+02,2.296208644419253346e+02,2.031762110162506758e+02,2.295716951616276447e+02,9.460745954348476516e+01,1.729516018414507244e+02,1.650747310004907433e+02,1.280855559556278820e+02,1.891794050418747588e+02
1.909638170338180885e+02,2.021004897120789678e+02,2.094704841917081524e+02,9.388946528826129168e+01,1.602547001227026442e+02,2.109882761666380588e+02,2.524057799206937602e+02,1.896791027879112335e+02,1.214070616099259610e+02,2.297893093350084257e+02,1.090692401202333031e+02,1.906813312087508621e+02,1.490595918969456193e+02,2.829255581875212897e+02
